Context,Utterance,Label
"good morning ;) __eou__ did you see justdave's gvm autorun default issue? __eou__ __eot__ yes, I did __eou__ I know what the problem is, but I don't quiet know how to solve it yet __eou__ __eot__ modify the schemas file __eou__ __eot__ I'm not sure what you mean __eou__ __eot__ the defaults are defined in the gconf schema file __eou__ included with gvm __eou__ __eot__ I think we may be talking about different issues __eou__ __eot__ justdave said autorun was on by default (which doesn't sound right to me, but...) __eou__ it's not a sane default (even though almost nothing uses autorun, but if something shitty did, then that would suck) __eou__ __eot__ ok, we can disable it __eou__ do all the file names need to change as well (ubuntu-artwork)? __eou__ __eot__ as opposed to just the theme dir names? __eou__ __eot__ mdz: gvm *does* prompt before running __eou__ I mean like the image filenames __eou__ __eot__ ","basically, they buy back it from you __eou__ refunding you the money __eou__",0
"Aug 23 11:52:25 buildd-mail: openssh has been installed; removing from upload dir: __eou__ hilltop has been happy all night __eou__ that's about 10 minutes work, all told __eou__ I wonder if it would be possible to get the cd-creation code and an rsync-able directory of the ISO contents somewhere - that'd probably go faster than rsync'ing the iso, I think __eou__ __eot__ the CD-creation code is at http://ftp.no-name-yet.com/cdimage/code/ plus colin.watson@canonical.com--2004/cdimage--mainline--0, but I wouldn't really advise doing it that way at the moment ... __eou__ you could also try netboot? __eou__ __eot__ yeah, I could at that.  What I'm actually going to do is hit an internet cafe in town tonight __eou__ __eot__ have any of the amd64 buildds tried to build debian-installer yet? All the build-deps should be there now. __eou__ __eot__ checking __eou__ __eot__ aha __eou__ sarge is in a somewhat better position because it didn't freeze d-i in the middle of doing sata support ;) __eou__ __eot__ ln: accessing `./tmp/netboot_2.6/cd_tree/linux': No such file or directory __eou__ __eot__ ", xp __eou__  what can i do now plz __eou__,0
"known bug. check bugs.debian.org/src:xfree86 __eou__ permission denied. please do a chmod 644 P* or something __eou__ just stay around. i might need you to do some stuff for me __eou__ do you have a full copy of that oops? __eou__ i know there is a way to get it dumped via network, but i am not sure how reliable it is and how it works exactly. __eou__ __eot__ I'm waiting approval to join the sounder list.  Can you send me a copy of your message? __eou__ __eot__ haven't written it yet. __eou__ basically you copy the entire oops in a file __eou__ apt-get install kernel-source-2.6.7 && cd /usr/src && tar jxvfp kernel-source-2.6.7.tar.bz2 && cd kernel-source-2.6.7/Documentation __eou__ __eot__ I had the same oops on boot again.  Didn't get time to take notes, but at least it seems like a regular thing ;-)  I'll take notes next time. __eou__ __eot__ ok.. but please try to do it. __eou__ __eot__ ",PDT: http://www.zend.com/pdt __eou__,0
"setuid /bin/mount is going to be disabled in favour of pmount, which doesn't require entries in fstab __eou__ done __eou__ speaking of hate mail, we need to re-enable the hostname question in d-i __eou__ __eot__ under all circumstances, I take it? __eou__ __eot__ I would say so __eou__ __eot__ done __eou__ __eot__ I will accept responsibility for the additional question :-) __eou__ what time were you planning to roll Sounder 7? __eou__ you're free to statoverride /bin/mount and edit fstab __eou__ if you need to start now, then do it.  it's more important to get sounder 7 out than to have usplash __eou__ that's a known bug in thom's acpid upload __eou__ please do file a bug to remind him __eou__ if you have time to do it, reverting ubuntu4 is fine with me __eou__ I believe the final scheme for the version number was with a dash (4-10) __eou__ __eot__ indeed. it's a Recommends: thing, fixed __eou__ actually, if we're going the archive-copier route we absolutely want this approach __eou__ __eot__ archive-copier would handle base as well? __eou__ does this include all of the shipseed additions we made in Oxford? __eou__ __eot__ that's all entirely automatic now, so yes __eou__ __eot__ barking? __eou__ archive-copier seems to do the right thing for me, as far as copying __eou__ __eot__ apt-cdrom add, too __eou__ __eot__ by the time I logged in on vt2 to look, /var/cache/apt/archives was empty __eou__ __eot__ oh, damn, I forgot to mention that; you also need to boot with KEEP_DEBS=yes __eou__ apparently this happens when xresprobe can't __eou__ __eot__ ","ok, cool, well long story short,,, XP installed first, then 7, then ubuntu... (MBR<--GRUB2)  MBR contained ""earlier version of windows"" [which is XP], and ""Windows 7"";;; to get there i had to select Windows 7 (loader)...   OK, then xp got a virus, so i activated the 7 partition and migrated the xp BOOT record to 7's partition and told 7 to allocate the free space xp left behind; so... __eou__",0
"we need to make sure that cdroms (and other removable media) do not end up in fstab __eou__ all removable media needs to be handled by pmount, which will refuse to mount anything in fstab (for good reason) __eou__ __eot__ presumably I should make the same quietinit->splash change in yaboot-installer? __eou__ __eot__ yes __eou__ __eot__ done __eou__ (was the actual option change in sysvinit, or somewhere else?) __eou__ __eot__ sysvinit __eou__ usplash will also check for it and not display if it isn't there __eou__ sysvinit is already changed (at least the package is uploaded) __eou__ __eot__ the patch as posted is wrong, but I've tested with a similar change and it's fine __eou__ __eot__ if it works, can you patch it and upload it? __eou__ __eot__ ","sure, let's make it tomorrow though :-) __eou__",1
"what does the fb corruption look like? __eou__ __eot__ lots of dots and squggles, text is partly readable __eou__ also, apt seems unable to complete the install on several packages at the moment __eou__ __eot__ which packages? __eou__ __eot__ ^^^ __eou__ __eot__ they build 'em sturdy down there, apparently __eou__ those packages seem to install fine for me here __eou__ __eot__ over here they install fine, but then apt wants to install them again __eou__ __eot__ try apt-get clean? __eou__ __eot__ that fixed it, thanks __eou__ __eot__ that issue shouldn't affect upgrades from woody; I don't think that any Warty packages have the same version number as a woody package __eou__ yes, there are many such packages in that set (same version in sarge and warty) __eou__ __eot__ pitti: I'm in group plugdev, it's still not working. __eou__ __eot__ one difference is that some PCs have a line out which doubles as an amplified output __eou__ you were seeing that problem with opening files on a removable device also, weren't you? __eou__ __eot__ removable devices had been bad for me, but it's looking much better __eou__ hmm... yes, double-clicking a JPG in a /media/ popped-up nautilus window (USB pen storage) doesn't fire up any app __eou__ __eot__ I think we nailed the issue (executable permissions) __eou__ question: should users installing from CD have access, by default, to all of warty/main via http by default? __eou__ __eot__ ",There are a few developer addons to firefox where you can change client side code on the spot if you like __eou__ Dont know what a terminal emulator has to do with it though __eou__,0
"poke __eou__ __eot__ trying to remember if I asked if you were ppc or i386 __eou__ tivo series 1, eh? __eou__ remember to firewall the tivo, eh? __eou__ __eot__ yeah, series 1 __eou__ h8 that __eou__ debconf should be configurable to not mail. __eou__ __eot__ what kind of puppies? __eou__ awesome __eou__ __eot__ yeah, its working out pretty well __eou__ we might break a bit over even since theres 8(!) puppies. __eou__ we were hoping for at least 5 __eou__ __eot__ ","and I assume you did the right thing and pre-sold based on availability, yes? __eou__",1
you pinged the other day? (i only just got to a computer since friday) __eou__ __eot__ I pinged a few minutes ago __eou__ did you make a usplash package? __eou__ its ok __eou__ __eot__ please ensure that you have the dependencies on lsb-base correct when you upload init scripts __eou__ __eot__ please read the update I posted to your bug __eou__ lsb-base is part of base __eou__ all the sysvinit stuff depends on it __eou__ __eot__ i have it installed. you haven't ensured that i have the correct version __eou__ __eot__ ,"they're already all done is the problem __eou__ though, I suppose we may be able to script it __eou__ btw, the new initscripts uncovered a bug -- acpi-support loads before acpid.  however, acpid loads the modules for acpi, which acpi-support needs to grep the battery status __eou__ what email address do I assign it to? __eou__ (the acpi-support bug) __eou__",1
"right click on the desktop is not working for me __eou__ __eot__ nautilus manages the desktop ? the icons are displayed ? opening a dir on the desktop works ? __eou__ __eot__ nothing __eou__ hi __eou__ ok thanks __eou__ are the wifi / battery percentages disabled by default now? __eou__ __eot__ apparently no, they should ? __eou__ __eot__ correct __eou__ great work on the gnome packages, thank you! __eou__ __eot__ yes, apparently they are the same ... why ? __eou__ __eot__ superb work last night __eou__ __eot__ thanks __eou__ __eot__ what format are the app icons in? __eou__ __eot__ png most of the time __eou__ __eot__ size? __eou__ svg ok? __eou__ __eot__ ","let me check __eou__ the icon is a 48x48 png file, I've not tested with a svg one, but it should work __eou__",1
"anybody else seeing fb corruption during boot? __eou__ gdm / x are coming up fine but my console is b0rked __eou__ __eot__ which video card? __eou__ __eot__ no, it's my home desktop __eou__ __eot__ i remember fb broken on that laptop and iirc it was an ati too. perhaps it's just the kernel fb driver that is broken. we should give it a shot after we sync 2.6.8 __eou__ __eot__ yo! __eou__ __eot__ i suggest a mosedt 20 to 30% __eou__ __eot__ this is for first-time install __eou__ __eot__ i understand it's for first-time install.. if i had my speakers on at 70% i would have issues with the neighbours ;) __eou__ possibly.. they will start commenting on my work: ""oh no.. he is installing ubuntu again"" <g> __eou__ __eot__ maybe we can have a sound-levels test during installation? start low, and rise? __eou__ __eot__ if we switch to a GUI installer for hoary, i think we can easily integrate it. __eou__ or otherwise doing it at a later stage.. but yes i think it's doable __eou__ also for people installing from a modem? __eou__ not necessarely.. if we add the http stuff no... __eou__ __eot__ it would be nice to have the ""fetch latest updates"" as an option during the install __eou__ __eot__ option = question? __eou__ __eot__ would have to be __eou__ __eot__ as it is now after the install we suggest the http lines for main/restriced and universe as we agreed via email and we force security updates __eou__ that's more complicate yes.. __eou__ our installation is already big enough... __eou__ __eot__ good day today so far, lots of catching up. how's dannemark? __eou__ __eot__ if you declared renaming time 2 days ago i would have love you more :) __eou__ who isn't? ;) __eou__ isn't thom the one that likes to slice his fingers? ;) __eou__ would be an option to use #ubuntu-meeting ? __eou__ since it's already logged? __eou__ __eot__ ",type  startx  hit enter __eou__ sudo apt-get install human-theme __eou__,0
"that typically means that apt is seeing multiple packages with the same version number which are actually distinct __eou__ or else a broken pinning configuration __eou__ anything funny in /etc/apt/sources.list or /etc/apt/preferences? __eou__ __eot__ there's something definitely screwy with the archive __eou__ __eot__ stock Warty __eou__ apt-get install `debootstrap --print-debs ...` __eou__ it doesn't work to have both warty and unstable in sources.list __eou__ that's what hoary is for __eou__ __eot__ what kernel are you running? __eou__ #268154, yeah, reassign that bug one more time! <g> __eou__ __eot__ for some reason, deity@ doesn't seem to get notification when a bug is reassigned __eou__ __eot__ it so did :p __eou__ __eot__ well, it wasn't in my mailbox, and the bug report was __eou__ that's normal if you have two video cards... __eou__ __eot__ just one __eou__ __eot__ add --vendor and --model __eou__ that is, get rid of --format and replace it with --vendor and --model __eou__ most likely it's seeing another device and considering it a video card __eou__ ahh __eou__ __eot__ ", Hi __eou__ Do you have a minute please? __eou__,0
yow __eou__ __eot__ did you see my comment about base-config/sudoers? __eou__ __eot__ yes __eou__ __eot__ ,"I plan to change sudo to put 'Defaults !lecture,tty_tickets' in the standard sudoers file it creates in its postinst, and in base-config just append to the sudoers file. Sound good? __eou__",1
"how is amd64 looking? __eou__ __eot__ I see the same problem as everybody's seeing; wrt amd64, I've been spending most of the day sleeping and recovering from Oxford. __eou__ I need to whack ia32-libs into shape (and preferably amd64-libs too) and then get the new gcc in together with doko. __eou__ I can try. __eou__ that seemed to fix it, thx __eou__ it's trivial to check, though __eou__ __eot__ kernel-headers-`uname -r` should do __eou__ indeed __eou__ __eot__ I don't think you can ever get a corrupted image by rsyncing at the wrong time. __eou__ __eot__ probably not, but I could get yesterday's :-) __eou__ __eot__ well, true. :) __eou__ vim-crack ? __eou__ 896 seems ok, the TEXTREL segment is only present on i386 __eou__ so, technically, it's a policy violation, but we can ignore it, as it's correct on amd64. __eou__ fwiw, on MOSX apps, if you are in a ""dangerous"" application, you have the lock in the bottom right.. would something similar work? __eou__ __eot__ that'd be neat, something to look at for Hoary maybe __eou__ __eot__ nautilus could send ""window closed"" messages onto the dbus? ;) __eou__ load-testing to see whether an a2 setup with php seems to be safe or not. __eou__ __eot__ ", "mv: invalid option -- R __eou__,0
"should I try to upload again since I got no .upload file? __eou__ __eot__ sure; if there's no .upload, it either got deleted, or it was never uploaded __eou__ how is usplash going? __eou__ __eot__ we have usplash packages :) __eou__ __eot__ after setting up vesafb, I get: Starting Ubuntu..., delay while initrd runs, nice animation, then some kernel messages overwrite parts of it, then a black screen with scrolling text while the animation continues to play only in the center of the screen __eou__ __eot__ try sticking -- /bin/echo ""0 0 0 0"" > /proc/sys/kernel/printk -- in mountvirtfs just after the -- domount proc """" /proc -- line __eou__ also, does your kernel cmdline have console=tty1? __eou__ actually, with the console=tty1 option, you may not need the echo line __eou__ you *do* still need the echo line __eou__ __eot__ I tried with console=tty1; no difference __eou__ __eot__ are you getting initscript messages? or kernel messages? __eou__ if kernel, you need to add the echo line I mentioned __eou__ you get initscript messages after init switches to runlevel 2? __eou__ __eot__ correct __eou__ __eot__ ",at what point does gdm load on your system? Sxx in runlevel 2? __eou__,1
"A South African skydiver survived a 3,500 meter (11,500 ft) plunge after her parachute failed to open and lines broke on her reserve chute, a local skydiving club said Monday. __eou__ __eot__ turns out starting acpid in rcS causes problems __eou__ __eot__ what sort of problems? __eou__ __eot__ we start it before /var gets cleaned. so the socket goes away __eou__ are you happy for me to upload sulogin, by the way? __eou__ __eot__ yes __eou__ __eot__ is totally rad laptop support a feature goal? __eou__ __eot__ depends on your next question :-) __eou__ __eot__ netapplet is utterly rad... __eou__ http://tech9.net/rml/log/2004082401 __eou__ __eot__ looks like a totally rad hoary feature :-) __eou__ __eot__ and indeed http://www.nat.org/2004/august/ __eou__ i *knew* you were gonna say that __eou__ __eot__ how does the mozilla situation look? __eou__ __eot__ i got caught up in ddcprobe/xresprobe on amd64; just cooking dinner then will look __eou__ __eot__ I don't seem to have notes about your schedule; what hours are generally good for you as far as meetings and the like? __eou__ __eot__ i'm usually awake and working 10am-6pm (currently GMT+1) __eou__ __eot__ ",not installed? __eou__,0
"required some small mods to do that... __eou__ that's a london time __eou__ __eot__ gst-plugins0.8 is still not built, could you check if it's ftbfsing ? __eou__ oh ok, thanks __eou__ __eot__ theora is installed __eou__ __eot__ thanks __eou__ __eot__ it's kinda one of those assumptions - new gnome, seb uploads. :-)  You've been doing such an overkill job on it that, well... __eou__ yeah!  that's it/ __eou__ epiphany-browser_1.3.8-0ubuntu3 is missing an amd64 build-dep on gcc-3.4 __eou__ __eot__ I've applied the patch, dunno for the rest __eou__ __eot__ gdm looks to be missing a build-dep or 6... __eou__ __eot__ gdm is missing a Build-Depends ? Which one ? That's ubuntu14 ... weird that Build-Depends changed  __eou__ how is the gdm retry ? __eou__ __eot__ successful. __eou__ __eot__ ",heheh yes. __eou__ certainly not ;P __eou__,0
you've already uploaded the biarch ones? __eou__ __eot__ first biarch test succeeded :) __eou__ any packages already built and uploaded with gcc-3.4? __eou__ __eot__ ,"not to my knowledge. __eou__ I want to fix grub first, as soon as that is there, base should be fully installable __eou__ do you have an i386 system nearby and could test that the patch doesn't break i386? __eou__",1
"i wonder if that will happen to upgraders from woody? __eou__ __eot__ any package that we're shipping the same version as woody, which is already in your cache, will have issues.... :-( __eou__ and should there initial install fetch newer bits from the net if they're there, or just install from CD? __eou__ rpm has issues... __eou__ __eot__ ping __eou__ i'm going to run through it with you now, should we switch to a separate channel? __eou__ mornin'! __eou__ good work on postfix, btw __eou__ __eot__ ",ty __eou__,0
"gcc-3.3_1:3.3.4-9ubuntu1?? __eou__ __eot__ if the gcc packages failed to build, please send me the logs (or maybe the last 100 lines ...) __eou__ __eot__ OK. one more round on ppc... __eou__ found it. __eou__ __eot__ sorry, didn't see. __eou__ __eot__ np.  I knew that I had a bug that had the needed info in it, just couldn't find it for a bit.. (was closed a while back..) __eou__ __eot__ do you know, what probably is wrong with gcc-3.4's sonames? __eou__ __eot__ ",no clue  __eou__,1
"that was ftbfs on ppc/amd64 __eou__ __eot__ why? __eou__ __eot__ /usr/bin/ld: skipping incompatible /usr/lib/gcc-lib/x86_64-linux/3.3.4/../../../libc.so when searching for -lc __eou__ __eot__ ok, missing ia32-libs-dev build-dependency. __eou__ I wonder why it failed on ppc, though __eou__ __eot__ actually, that could just be ppc flakiness - I'll see if giving it back helpo __eou__ __eot__ goodie, I don't see why it should fail on ppc (though, I haven't looked at the source, just listened to what doko's told me) __eou__ __eot__ ",gcc-3.4 is d-w amd64-libs-dev __eou__,1
"Oskuro, Mithrandir, rburton: good morning! __eou__ __eot__ :-) __eou__ __eot__ ","lots of ways.  By people using it, and some error happens, and it leaves the entire OS in limbo __eou__",0
"yes, they're very useful to sudo __eou__ __eot__ %patrons  theatre_tickets(+opera_glasses) __eou__ __eot__ *g* __eou__ __eot__ netapplet disappointed me somewhat __eou__ __eot__ how so? __eou__ __eot__ didn't you remove ""Suspend"" from the battery applet? __eou__ __eot__ see Seth's post about NetworkManager on ddl? __eou__ __eot__ but the nc4010 has working WiFi <g> __eou__ remember, anything's better than that toilet seat of his <g> __eou__ __eot__ in this case i'm not sure i agree __eou__ __eot__ and what time (GMT) did you get up? :p __eou__ __eot__ hrm, yeah. that's a bug __eou__ *g* __eou__ __eot__ I'm at the ""need more walls to put more shelves on"" stage :-/ __eou__ __eot__ yeah __eou__ __eot__ yeah, I'm usually up by then __eou__ __eot__ talk to your pet evo hacker about it :p __eou__ __eot__ he does exchange stuff mostly, iirc __eou__ came up with syndicate __eou__ __eot__ i'm only going if i get knocked out by being snogged by some cute thing called safron __eou__ __eot__ ","heh __eou__ ah, you uploaded them ... that explains it then __eou__",1
"hi  everyone __eou__ kamion: the trashcan applet isn't showing on auckland, any idea why? __eou__ __eot__ it doesn't seem to have been built yet; the source is there but no .debs __eou__ this is the case for openssh -9 too, so I'm wondering if lamont's hilltop is down or something __eou__ __eot__ what's the rsync url for the latest warty daily nowadays? __eou__ __eot__ yes __eou__ hm, you actually have more folders than me? __eou__ no __eou__ the cdrom: URI needs to be in sources.list otherwise the cached copies don't work __eou__ I ran into this just yesterday __eou__ basically we do an update from the cdrom before reboot, and that sets up apt's database post-reboot properly __eou__ yeah, also an automatic cleaning issue, using /var/cache/apt/archives means that 'apt-get clean' gets rid of it __eou__ I wasn't suggesting making the CD mandatory, merely usable ... __eou__ __eot__ how are we for cd size at the moment? __eou__ __eot__ 'bout 100MB short of the wall __eou__ but you wouldn't be able to clean it automatically __eou__ and there's a debootstrap deficiency that means it'll probably actually be 1.2GB extra during the install __eou__ I was thinking of making archive-copier not bother to copy Base (since with the cdrom-detect change, debootstrap is now pretty fast by itself) __eou__ __eot__ agreed __eou__ __eot__ three kernel variants __eou__ __eot__ just testing the latest cd build and i have a network issue __eou__ __eot__ well, I was away running installs for a while there, but what mdz said __eou__ __eot__ ok, is that entirely out of scope for warty-final? __eou__ __eot__ don't think so, it should be a relatively small set of changes without too much risk to non-ipw2[12] 00 systems __eou__ __eot__ ok, restarted install with aero pcmcia, everything's slick, well done! __eou__ __eot__ ",on xchat an uparrow will bring up the last thing you typed. do it again and you get the previous one. (called brings up a history of hour comments)  Wonderful device. So you can use xchat for irc and the other for gtalk __eou__,0
"am I supposed to get a question about the modes I want to be available during xserver-xfree86 ubuntu7's postinst? __eou__ __eot__ it depends which version of xresprobe you are using, and in any case it is possible if it fails __eou__ it is done in postinst because we need the server unpacked __eou__ just check that you will get xresprobe 0.2-2 __eou__ __eot__ ok, so xresprobe still fails here __eou__ __eot__ ok. than we can't probe your box __eou__ yeah __eou__ __eot__ seems to do the same kind of thing __eou__ __eot__ i am pretty sure the option is broken. gotta go for real __eou__ we need to take a look to base-config when you have time __eou__ we need to add apt lines for CD install. __eou__ __eot__ agreed, will look at it once I've finished this __eou__ __eot__ if we are not in any rush i can do it tomorrow. we can just reuse contrib for universe e non-free for restriceted, and change security according to the last Bof with mdz __eou__ __eot__ sure __eou__ __eot__ ok.. i take the task than. __eou__ please do not release any Sounder until X ubuntu9 is around __eou__ __eot__ there's no release planned until Monday week anyway __eou__ __eot__ i think Sounder 8 will have to wait tuesday __eou__ i found a few interesting extra bugs in X __eou__ __eot__ not this coming Monday anyway, the Monday after that __eou__ __eot__ ",ok __eou__,1
"excellent, DTRT with a set root password too __eou__ I seem to be seeing ACPI errors from GNOME on startup with the current daily __eou__ ""Can't access ACPI events in /var/run/acpid.socket! Make sure the ACPI subsystem is working and the acpid daemon is running.@ __eou__ "" __eou__ __eot__ acpid not running? __eou__ oh! __eou__ I saw Catalan ""de Ubuntu"" issues in my Warty install the other day, btw. __eou__ __eot__ Tollef may not have known about that issue __eou__ n-c-b? __eou__ __eot__ nautilus-cd-burner __eou__ __eot__ ","nope __eou__ when you login, click on sessions, and select gnome __eou__ what does? __eou__ why? __eou__ it wont have.  You can create different profiles in firefox.  Make sure you're using the same one __eou__",0
"has the scary artwork gone in yet? __eou__ __eot__ there is some scary artwork __eou__ __eot__ Does the scary artwork involve people? __eou__ __eot__ not as far as I've seen __eou__ ok, so ubuntu rocks even more than I thought :) __eou__ __eot__ Ah, so not the really scary artwork yet __eou__ __eot__ ",i apoligize.. i do have home/tristan.. and also home/home  it seemed i was in the wrong spot lookin around.. sorry __eou__,0
"aes: your blog entry was a little confusing __eou__ i'd say 90% of packages are in universe, so no extra repositories would be needed __eou__ no need for pinning etc __eou__ probably, yes __eou__ :) __eou__ add ""deb http://ftp.no-name-yet.com/no-name-yet/ warty universe"" __eou__ np __eou__ i only discovered it when i moaned about the lack of xemacs :) __eou__ xemacs being broken? __eou__ i'm sure it is __eou__ __eot__ xemacs21 should be there soon __eou__ __eot__ its all in apart from xemacs21-basesupport __eou__ __eot__ we can't build xemacs21-packages (source for xemacs21-basesupport) because xemacs21-basesupport isn't built.  sigh. __eou__ it was more the people that were scary - the actual models aren't so scary __eou__ bug #1066 __eou__ cdrecord, or groisofs? __eou__ __eot__ ",probably growisofs as i was writing to a dvd-rw __eou__ lets blame railtrack __eou__,1
"well, yes.  But then, I'd have to actually do research to explain the rules definitively...  Not entirely sure which buildd's have hacked around the problem and which have not... __eou__ __eot__ sawfish is written in lithp, so i'm sure you could work something out __eou__ __eot__ why not just binNMU libapache2_mod_python? __eou__ __eot__ need to sync apache2 anyway __eou__ subversion needs fixes from a2, so that should be fixed. and i'd prefer to keep python and php in sync whilst we still can __eou__ __eot__ I _had_ DDR RAM, so I didn't buy more than the minimum when I bought the box.  sadly, that'd be registered vs unregistered or some such - my DDR was no good in the box... __eou__ __eot__ eh? we don't want the Defaults <user> timeout=0 bit from base config __eou__ __eot__ that's not what was actually done. __eou__ see - fat pipes just make you want _MORE_... __eou__ interesting __eou__ don' __eou__ there's a dfference? __eou__ __eot__ ",according to base-config __eou__ yes __eou__ bog standard install __eou__,1
"I think the scary artwork was planning to arrive once they'd posed the actual models, rather than the stock footage they used in the mockups... __eou__ __eot__ any news from the X buildd front? __eou__ __eot__ -6ubuntu7 is installed on all 3 __eou__ __eot__ good.. i was more thinking about the mime stuff :-) __eou__ __eot__ thought about it afterwards - I need to rewrite some perl code into python to fix it, that'll happen sometime soon, but today isn't very likely __eou__ __eot__ can you give it a kick later tonight_? __eou__ you can upgrade, but if you do so, either you do echo >> /etc/X11/XF86Config __eou__ are you on ubuntu10? __eou__ ubuntu9 was broken. please upgrade ubuntu10 __eou__ i have been working 14 hours yesterday to fix all the -reconfigure /upgrade thingy __eou__ you need only xserver-xfree86 and xserver-common from ubuntu10 __eou__ __eot__ but I have 9 and a working X config... __eou__ is -11 due anytime soon? __eou__ __eot__ dpkg-reconfigure won't work and it will smash your config __eou__ probably today or tomorrow __eou__ __eot__ yeah - I noticed.  But vi works.. __eou__ cool __eou__ __eot__ well it's enough you add a line at the end of the file __eou__ actually i was thinking to do it in the next 2/3 days __eou__ see why? __eou__ there will be an ubuntu12 at least __eou__ but not that urgent __eou__ __eot__ btw, I had to bump up the hsync/vsync to get my monitor happy __eou__ __eot__ please can you give me a bit more details? __eou__ __eot__ you're assuming that I remember what I changed??? __eou__ __eot__ ok hold on a sec... __eou__ can you do the tests in order as i described them to sounder@ ? __eou__ __eot__ sure.. gotta go find which mail they're in... __eou__ __eot__ yup __eou__ __eot__ noticed upgrading from -u7 to -u9, which was, of course, broken.  But we knew that __eou__ __eot__ there is ubuntu11 out. please use it __eou__ __eot__ ","yeah, I have 11 where I can upgrade easily __eou__ of course, I really don't want to restart X... __eou__ which of the many mails from you to sounder@ has the test sequence? __eou__",1
"What does ""Totally Rad Laptop Support"" actually involve? __eou__ __eot__ currently, laptop mode, some acpi stuff that doesn't send machines to sleep permanently, etc __eou__ ipw2{1,2}00 you mean? we will do __eou__ yeah __eou__ __eot__ What happened to the dreadful laptops? __eou__ Ultra-rad laptop support should include netapplet __eou__ __eot__ i was thinking that __eou__ __eot__ ",whats in your /etc/modules with relating ndiswrapper? __eou__,0
"working acpi, i gotta hope :) __eou__ __eot__ Are you still planning on doing an article on acpi at some point? __eou__ __eot__ yes __eou__ looks like the netapplet has the same bug about the notification area disappearing that many apps have, sigh __eou__ __eot__ Which one is that? __eou__ __eot__ this one's caused by c&p from broken code in libegg example. rhythmbox and gnome-obex-server get it right. __eou__ if i get the energy i'll make a patch __eou__ __eot__ Thanks - that sounds good __eou__ http://www.srcf.ucam.org/~mjg59/laptops/ __eou__ __eot__ cool. i'll likely bug you a little :) __eou__ __eot__ The acpi-support scripts there ought to do suspend/resume on your machine, too __eou__ __eot__ cool. i'll report back. __eou__ your packages are ok to use with warty? __eou__ __eot__ Should be, yup __eou__ __eot__ so S3 works nice with that kernel. is there anything i need to do specially to get swusp functioning? __eou__ __eot__ You need to add a resume line to your kernel command line options __eou__ __eot__ ","ok, done that but no luck. i'll look harder.. __eou__ your kernel doesn't want to play well with vga16fb in the initrd (the 2.6.8.1 did) any ideas? __eou__ i also get a slew of ""ERROR: removing 'module': Device or resource busy"" at the beginning of the boot __eou__ modprobing fbcon fixes the console issue, tho i don't know why it differs between yr kernel and the previous one __eou__",1
"we rock.  or sane rocks, or something.  Installed xsane, installed hpoj and It Just Works. __eou__ what is The Recommended Email Client in ubuntu?  Evolution? __eou__ __eot__ yes __eou__ any output that you see that is superflous is a bug, please file __eou__ __eot__ will do. __eou__ dhclient. __eou__ __eot__ ",I'm not sure how to handle dhclient because it actually grabs the terminal so that you can ctrl-c dhcp __eou__,1
"speaking of hpoj...... __eou__ ping? __eou__ ping __eou__ __eot__ pong __eou__ __eot__ are you logged into jabber from someplace else?  tried to reach you there first __eou__ __eot__ er, afaik I haven't been logged into Jabber for the last 48h. what's up? __eou__ this could be to do with vt switching being pure crap on your chipset maybe __eou__ uhm, tinyx is pre-kdrive __eou__ __eot__ well, if the framebuffer is already initialized, then there should be no mode switch __eou__ welcome home? __eou__ __eot__ yah. logged in to jabber, got your ping. __eou__ __eot__ ","let me check, thanks. __eou__",0
"OK, CDs hopefully now sorted with all the udebs at the front in Packages file order followed by all the debs in Packages file order __eou__ and the Packages files alphabetically sorted by source then package name __eou__ wonder how long that'll take to rsync ... __eou__ __eot__ oooh  __eou__ __eot__ could you run ""cat /proc/device-tree`cat /proc/device-tree/aliases/mac-io`/radio/name"" for me, please? __eou__ ah well, can't have everything __eou__ fair enough, might be more of an oldworld thing __eou__ __eot__ are the latest dailies package sorted? (or should i wait before downloading, to avoid rsync hell)? __eou__ __eot__ should be __eou__ rsync actually seems to deal with the sorting fairly reasonably __eou__ uuencode is pretty much the standard way to do that, actually __eou__ __eot__ that's unfortunate. :| __eou__ in which case, what's our favourite decoder? __eou__ __eot__ uudecode's in sharutils isn't it? __eou__ which packages do you think aptitude -y install ~tdesktop shouldn't have installed? it might be a germinate bug. __eou__ __eot__ fam and its libs (which should indeed be installed with the desktop), but i have other packages providing those __eou__ __eot__ yow - I echo elmo's objections to going to sleep when the lid is closed on AC __eou__ __eot__ eek __eou__ __eot__ best thing to do with them sometimes :-) __eou__ choosing __eou__ __eot__ what does openssh-server use openssh-client for? __eou__ proxy and so on, or...? __eou__ __eot__ /etc/ssh/moduli, ssh-keysign, couple of other common things __eou__ __eot__ was thinking last week - might be cool to have an ssh server with no ssh client __eou__ __eot__ I considered that, but decided against it. __eou__ __eot__ yo yo __eou__ did we decide against hdparm in d-i? __eou__ __eot__ ","I think we decided for it, I just haven't done it yet ... __eou__ in fact, how about I file a bug so that I remember __eou__ oh yes, I still get that grub stuff __eou__",1
"heh, libtiff __eou__ would it be possible to separate warty-changes and universe changes? __eou__ __eot__ the w-b stuff is all the same place, so somehow I kinda doubt it... __eou__ are there baglimits on bob2's? __eou__ the changelog said 'goswin' __eou__ __eot__ ",changelog of? __eou__,1
